gse_id,contact_country,date_cleaned,sex,race,sex_ratio,race_dist_score,DEI score
GSE70905,USA,2015-07-14,0.0,0.0,0.0,0.0,0.0
GSE63471,FRA,2014-11-19,0.0,0.0,0.0,0.0,0.0
GSE62452,USA,2014-10-17,0.0,0.0,0.0,0.0,0.0
GSE73685,USA,2015-10-02,0.0,0.0,0.0,0.0,0.0
GSE66258,USA,2015-02-24,0.0,0.0,0.0,0.0,0.0
GSE55857,USA,2014-03-13,0.0,0.0,0.0,0.0,0.0
GSE60924,JPN,2014-08-27,0.0,0.0,0.0,0.0,0.0
GSE83744,USA,2016-06-27,0.0,0.0,0.0,0.0,0.0
GSE72088,NLD,2014-04-25,0.0,0.0,0.0,0.0,0.0
GSE73072,USA,2015-09-15,0.0,0.0,0.0,0.0,0.0
GSE83294,USA,2016-06-13,0.0,0.0,0.0,0.0,0.0
GSE83232,USA,2016-06-10,0.0,0.0,0.0,0.0,0.0
GSE83227,USA,2016-06-10,0.0,0.0,0.0,0.0,0.0
